 ,WARNING: CSV format is subject to change without notice.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Software programs should use JSON format for completeness and forward-compatibility.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPA 2261 C6+,SampleName,,Concentration, , , , , , , , , , ,,NormalizedConcentration, , , , , , , , , , ,Area, , , , , , , , , , ,RT(s), , , , , , , , , , 
Detectors,,,moduleA:tcd, ,moduleB:tcd, , , ,moduleC:tcd, , , , ,,moduleA:tcd, ,moduleB:tcd, , , ,moduleC:tcd, , , , ,moduleA:tcd, ,moduleB:tcd, , , ,moduleC:tcd, , , , ,moduleA:tcd, ,moduleB:tcd, , , ,moduleC:tcd, , , , 
Time (GMT -300 mins),,,O2,N2,C1,CO2,C2,C3,IC4,NC4,IC5,NC5,C6+,,O2,N2,C1,CO2,C2,C3,IC4,NC4,IC5,NC5,C6+,O2,N2,C1,CO2,C2,C3,IC4,NC4,IC5,NC5,C6+,O2,N2,C1,CO2,C2,C3,IC4,NC4,IC5,NC5,C6+
6/10/2026 9:32,Position 10,N70401,0.03353864,2.67318259,81.94451832,0.01690678,1.35231226,0.02122801,0,0,0,0,0,86.0416866,0.03897953,3.10684588,95.23815905,0.01964952,1.57169427,0.02467177,0,0,0,0,0,1197.685,86002.32,727499.685,203.005,16397.455,347.97,0,0,0,0,0,30.22,33.97,19.45,22.91,32.48,62.29,21.19,24.08,29.24,31.98,117.75
6/10/2026 9:26,Position 9,N70368,0.01027454,1.63639929,48.96571244,0.23503504,7.04168346,4.29403954,0.36977084,1.33022211,0.31287804,0.35422742,0.5834864,65.13372912,0.01577453,2.51236849,75.17719792,0.36084997,10.81111669,6.59265114,0.56771022,2.0422938,0.48036254,0.54384637,0.89582833,366.91,52646.66,434715.355,2822.14,85383.895,70388.005,14571.205,53514,14036.005,16560.675,33673,30.2,34,19.56,22.89,32.02,61.39,21.79,24.08,29.87,32.6,117.75
6/10/2026 9:20,Position 8,N91341 Sample 1,0.00614369,1.4411267,47.20904986,0.21209444,7.472917,4.29722218,0.42783579,1.40352676,0.31515207,0.37156407,0.64529544,63.801928,0.00962932,2.25875102,73.99313992,0.33242638,11.7126821,6.73525443,0.67056875,2.19981873,0.49395383,0.58237123,1.0114043,219.395,46364.3,419119.785,2546.685,90612.815,70440.175,16859.315,56463,14138.02,17371.19,37240,30.2,34.01,19.57,22.89,31.98,61.35,21.78,24.08,29.87,32.59,117.75
6/10/2026 9:14,Position 7,N91322,0.01152123,0.86164934,27.85636848,0.27992226,10.62063684,12.5652804,1.46994059,5.72812821,1.38431497,1.62210156,2.27094091,64.67080479,0.01781519,1.33236218,43.0741021,0.43284177,16.42261431,19.42960265,2.27295855,8.85736342,2.14055627,2.50824396,3.51153959,411.43,27721.205,247307.565,3361.115,128780.475,205970.395,57924.54,230439,62101.68,75835.735,131056,30.16,34,19.67,22.89,31.8,60.42,21.74,24.08,29.84,32.55,117.75
6/10/2026 9:08,Position 6,N91341 Sample 2,0.00703125,1.66534006,54.01697354,0.23790329,8.54080993,4.94384453,0.49002067,1.612752,0.36391887,0.42915651,0.73897072,73.04672137,0.00962568,2.27982862,73.94852572,0.32568647,11.69225637,6.76805809,0.67083185,2.20783626,0.49820014,0.58750962,1.01164118,251.09,53577.75,479560.22,2856.58,103561.545,81039.625,19309.775,64880,16325.745,20063.725,42646,30.19,33.99,19.54,22.89,31.93,61.27,21.8,24.08,29.89,32.62,117.75
6/10/2026 9:02,Position 5,N91341 Sample 3,0.00774434,2.39368045,73.11472739,0.30837741,11.33176906,6.58781954,0.64522428,2.1404013,0.48667141,0.57313372,1.07464911,98.66419801,0.00784919,2.42608818,74.10461836,0.31255249,11.48518844,6.67701119,0.65395989,2.16937992,0.49326039,0.5808933,1.08919864,276.555,77010.105,649109.205,3702.785,137403.305,107987.705,25425.735,86107,21832.54,26794.88,62018,30.18,33.94,19.47,22.9,31.8,61.05,21.81,24.08,29.91,32.64,117.75
6/10/2026 8:56,Position 4,N41303,0.00820261,2.53919215,45.71402864,0.1842256,6.41748954,4.3600323,0.44937728,1.39221662,0.31131287,0.33645709,0.71271877,62.42525347,0.01313988,4.06757203,73.23002487,0.2951139,10.28027791,6.98440464,0.71986457,2.2302138,0.498697,0.53897593,1.14171545,292.92,81691.545,405847.055,2212.055,77815.235,71469.76,17708.18,56008,13965.79,15729.885,41131,30.21,33.95,19.58,22.89,32.04,61.35,21.79,24.08,29.89,32.61,117.75
6/10/2026 8:50,Position 3,N91341 Sample 4,0.00577672,1.2710976,42.62762166,0.19622662,6.80241404,3.88645537,0.38828437,1.2677056,0.28494294,0.33901455,0.5763126,57.64585207,0.01002104,2.20501139,73.94742229,0.34040024,11.80035302,6.74195147,0.67356862,2.19912718,0.49429912,0.58809877,0.99974686,206.29,40894.08,378446.075,2356.155,82482.635,63706.875,15300.75,50999,12782.81,15849.45,33259,30.21,34.03,19.6,22.91,32.05,61.45,21.78,24.08,29.88,32.61,117.75
6/10/2026 8:44,Position 2,N91326,0.02447635,1.60393669,49.48525386,0.19725765,7.12226904,4.8994757,0.44159015,1.66619554,0.36496466,0.42358418,0.78017675,67.00918057,0.03652685,2.39360738,73.84846888,0.29437407,10.6287959,7.31164844,0.65899948,2.4865183,0.54464874,0.63212858,1.16428337,874.065,51602.265,439327.82,2368.535,86361.035,80312.33,17401.32,67030,16372.66,19803.21,45024,30.2,34,19.57,22.91,32.04,61.31,21.79,24.08,29.89,32.61,117.75
6/10/2026 8:38,Position 1,N90376,0.00852436,1.52787815,49.26120675,0.29047082,6.96867118,3.89874061,0.33014202,1.18679457,0.24852641,0.30317412,0.48807832,64.51220731,0.01321356,2.3683551,76.35951211,0.45025715,10.80209695,6.04341531,0.51175123,1.8396434,0.38523935,0.46994845,0.75656739,304.41,49155.29,437338.74,3487.775,84498.585,63908.255,13009.59,47744,11149.13,14173.855,28167,30.19,33.97,19.58,22.93,32.12,61.69,21.79,24.08,29.89,32.61,117.75
% RSD, ,,74.76741549,33.28194193,29.38419301,37.95829072,36.59515636,62.99223227,75.28346174,84.16214008,89.55427343,90.05079982,74.65539105,,65.10971974,28.07633791,17.07803698,37.00436522,34.07590505,64.86884814,78.11851642,87.67674586,93.35314373,93.85985733,77.13483589,74.76741549,33.28194193,29.38419301,37.95829072,36.59515636,62.99223227,75.28346174,84.16214008,89.55427343,90.05079982,74.65539105,0.05671936,0.0822934,0.32015326,0.0598367,0.59739861,0.76313484,0.87094092,0,0.68277095,0.6109604,0
